Categoria,Descrição dos alimentos,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g)
Cereais e derivados,"Arroz, integral, cozido","70,1",124,"2,6","1,0","25,8"
Alimentos preparados,Sarapatel,"75,0",123,"18,5","4,4","1,1"
Carnes e derivados (Mar),"Merluza, filé, assado","70,7",122,"26,6","0,9","0,0"
Leite e derivados,"Queijo, petit suisse, morango","72,2",121,"5,8","2,8","18,5"
Leguminosas e derivados,"Tremoço, em conserva","67,7",121,"11,1","3,8","12,4"
Carnes e derivados,"Frango, coxa, sem pele, crua","76,4",120,"17,8","4,9","0,0"
Alimentos preparados,"Macarrão, molho bolognesa","71,4",120,"4,9","0,9","22,5"
Carnes e derivados,"Frango, peito, sem pele, cru","74,8",119,"21,5","3,0","0,0"
"Verduras, hortaliças e derivados","Batata, doce, crua","69,5",118,"1,3","0,1","28,2"
Carnes e derivados (Mar),"Atum, fresco, cru","73,1",118,"25,7","0,9","0,0"
Alimentos preparados,L,"71,8",117,"8,7","6,5","11,6"
Carnes e derivados (Mar),"Cação, posta, cozida","75,9",116,"25,6","0,7","0,0"
Carnes e derivados (Mar),"Sardinha, inteira, crua","76,6",114,"21,1","2,7","0,0"
Alimentos preparados,"Cuscuz, de milho, cozido com sal","71,1",113,"2,2","0,7","25,3"
Gorduras e óleos,"Manteiga, sem sal","13,6",758,"0,4","86,0","0,0"
"Verduras, hortaliças e derivados","Alho, cru","67,5",113,"7,0","0,2","23,9"
Gorduras e óleos,"Manteiga, com sal","15,8",726,"0,4","82,4","0,1"
Alimentos preparados,Yakisoba,"69,4",113,"7,5","2,6","18,3"
Cereais e derivados,"Bolo, pronto, coco","29,3",333,"5,7","11,3","52,3"
Alimentos preparados,"Frango, com açafrão","79,5",113,"9,7","6,2","4,1"
Carnes e derivados,"Toucinho, frito","6,3",697,"27,3","64,3","0,0"
Cereais e derivados,"Creme de milho, pó","5,7",333,"4,8","1,6","86,1"
Cereais e derivados,"Canjica, com leite integral","72,5",112,"2,4","1,2","23,6"
Nozes e sementes,"Castanha-do-Brasil, crua","3,5",643,"14,5","63,5","15,1"
Leguminosas e derivados,"Feijão, roxo, cru","12,6",331,"22,2","1,2","60,0"
Frutas e derivados,"Banana, ouro, crua","68,2",112,"1,5","0,2","29,3"
Nozes e sementes,"Noz, crua","6,2",620,"14,0","59,4","18,4"
"Verduras, hortaliças e derivados","Fécula, de mandioca","17,8",331,"0,5","0,3","81,1"
"Verduras, hortaliças e derivados","Abobrinha, paulista, crua","90,9",31,"0,6","0,1","7,9"
Leguminosas e derivados,"Amendoim, torrado, salgado","1,7",606,"22,5","54,0","18,7"
Carnes e derivados,"Carne, bovina, cupim, assado","48,4",330,"28,6","23,0","0,0"
"Verduras, hortaliças e derivados","Cenoura, cozida","91,7",30,"0,8","0,2","6,7"
Leite e derivados,"Queijo, mozarela","45,3",330,"22,6","25,2","3,0"
Frutas e derivados,"Açaí, polpa, com xarope de guaraná e glucose","73,9",110,"0,7","3,7","21,5"
Leguminosas e derivados,"Feijão, carioca, cru","14,0",329,"20,0","1,3","61,2"
Carnes e derivados,"Quibe, cru","74,5",109,"12,4","1,7","10,8"
Nozes e sementes,"Farinha, de mesocarpo de babaçu, crua","15,8",329,"1,4","0,2","79,2"
"Verduras, hortaliças e derivados","Cará, cozido","78,9",78,"1,5","0,1","18,9"
Carnes e derivados,"Toucinho, cru","27,6",593,"11,5","60,3","0,0"
Leguminosas e derivados,"Feijão, jalo, cru","13,5",328,"20,1","0,9","61,5"
"Verduras, hortaliças e derivados","Nabo, cru","93,8",18,"1,2","0,1","4,1"
Nozes e sementes,"Gergelim, semente","3,9",584,"21,2","50,4","21,6"
Carnes e derivados (Mar),"Lambari, congelado, frito","40,1",327,"28,4","22,8","0,0"
